experiment,mode,k,epoch,cta,clean_loss,pta,poison_loss
knn_defense_cifar_1xs_1500_none_k1,none,1,50,0.8008,0.002586084187030792,1.0,0.00027248188108205794
knn_defense_cifar_1xs_1500_none_k1,none,1,51,0.8285,0.0021960936546325683,0.999,0.00011601818166673183
knn_defense_cifar_1xs_1500_none_k1,none,1,52,0.8556,0.001827455559372902,0.969,0.0006235603243112565
knn_defense_cifar_1xs_1500_none_k1,none,1,53,0.8413,0.0020867158114910127,0.982,0.0003561083264648914
knn_defense_cifar_1xs_1500_none_k1,none,1,54,0.8505,0.0018499514877796173,0.992,0.00019363091327250003
knn_defense_cifar_1xs_1500_none_k1,none,1,55,0.8572,0.001804398438334465,0.976,0.0005447261482477188
knn_defense_cifar_1xs_1500_none_k1,none,1,56,0.8216,0.002276149383187294,0.996,0.00012658460810780525
knn_defense_cifar_1xs_1500_none_k1,none,1,57,0.8483,0.0019306242287158966,0.993,0.00020466986671090125
knn_defense_cifar_1xs_1500_none_k1,none,1,58,0.8256,0.0024302357137203218,0.732,0.0031286194920539857
knn_defense_cifar_1xs_1500_none_k1,none,1,59,0.7946,0.002684488761425018,0.997,0.00022888521105051042
knn_defense_cifar_1xs_1500_none_k1,none,1,60,0.8342,0.002098563551902771,0.996,0.00016401401534676553
knn_defense_cifar_1xs_1500_none_k1,none,1,61,0.8456,0.002041702002286911,0.976,0.0005882183238863945
knn_defense_cifar_1xs_1500_none_k1,none,1,62,0.8289,0.0023308118283748625,0.968,0.0005340884998440743
knn_defense_cifar_1xs_1500_none_k1,none,1,63,0.8342,0.002125557819008827,0.997,0.00015775175020098686
knn_defense_cifar_1xs_1500_none_k1,none,1,64,0.8545,0.0018852049231529236,0.979,0.0004412813559174538
knn_defense_cifar_1xs_1500_none_k1,none,1,65,0.8152,0.002417929369211197,0.995,0.0001130845583975315
knn_defense_cifar_1xs_1500_none_k1,none,1,66,0.8353,0.0022126721143722536,0.984,0.0005034171119332314
knn_defense_cifar_1xs_1500_none_k1,none,1,67,0.8319,0.002242273959517479,0.977,0.00034159688279032706
knn_defense_cifar_1xs_1500_none_k1,none,1,68,0.8581,0.0018137451350688934,0.992,0.00038079452514648435
knn_defense_cifar_1xs_1500_none_k1,none,1,69,0.8397,0.0020654400527477263,0.991,0.0001850798949599266
knn_defense_cifar_1xs_1500_none_k1,none,1,70,0.8142,0.0023608053117990494,0.998,6.856568530201912e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,71,0.8767,0.001561067959666252,0.961,0.0007422219812870025
knn_defense_cifar_1xs_1500_none_k1,none,1,72,0.848,0.0018920441091060639,0.992,0.00021220051124691964
knn_defense_cifar_1xs_1500_none_k1,none,1,73,0.8481,0.0019386603802442552,0.987,0.0003008510321378708
knn_defense_cifar_1xs_1500_none_k1,none,1,74,0.8506,0.0019395953357219697,0.992,0.00018856822140514852
knn_defense_cifar_1xs_1500_none_k1,none,1,75,0.8478,0.002141415002942085,0.96,0.0009587560594081878
knn_defense_cifar_1xs_1500_none_k1,none,1,76,0.8946,0.0013065779328346253,0.996,0.00013223833870142698
knn_defense_cifar_1xs_1500_none_k1,none,1,77,0.899,0.0012737625271081925,0.997,0.0001155033865943551
knn_defense_cifar_1xs_1500_none_k1,none,1,78,0.8993,0.0012895486310124397,0.998,6.942745763808488e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,79,0.8966,0.0013424471750855447,0.998,7.419470697641373e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,80,0.9006,0.0013199377462267876,0.998,6.985393934883177e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,81,0.9019,0.0013149725183844566,0.998,7.78432753868401e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,82,0.9021,0.0013336269944906234,0.997,8.028180990368128e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,83,0.8972,0.0014097558930516244,0.998,7.249859557487071e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,84,0.9053,0.001356027437746525,0.998,7.146561006084084e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,85,0.9035,0.0013746220231056214,0.997,8.207083120942116e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,86,0.8977,0.0014603132173418999,0.998,6.642783479765058e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,87,0.9048,0.0013691818818449973,0.997,8.521408401429654e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,88,0.9006,0.0014292359799146653,0.996,8.011506986804306e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,89,0.9009,0.0014400465875864029,0.997,6.20853832224384e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,90,0.8998,0.0014861695617437362,0.997,7.999236416071653e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,91,0.899,0.0015234459668397903,0.997,6.707737781107425e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,92,0.8956,0.0015694281168282032,0.998,5.6977673317305746e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,93,0.9005,0.0015072781421244144,0.997,6.686090724542736e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,94,0.8978,0.001588258345425129,0.998,6.171761162113398e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,95,0.9018,0.001494882981479168,0.998,8.086336543783546e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,96,0.8953,0.0016449553713202476,0.998,5.5741678981576116e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,97,0.8899,0.0017124707639217377,0.998,5.011856451164931e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,98,0.8935,0.001647912783920765,0.998,5.6334130407776686e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,99,0.8966,0.0015834324099123478,0.996,8.807779871858657e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,100,0.8925,0.0017019419088959693,0.998,7.773181551601738e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,101,0.8865,0.0018079969689249993,0.996,8.710802317364141e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,102,0.899,0.0016225325085222721,0.997,5.382589926011861e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,103,0.8999,0.0016193744391202927,0.998,8.04263900499791e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,104,0.8925,0.0017819351404905319,0.999,4.906759684672579e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,105,0.902,0.0015991983711719513,0.997,8.106710133142769e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,106,0.8902,0.0018022202730178833,0.997,6.683609401807189e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,107,0.8926,0.0017923454254865647,0.997,8.7348217057297e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,108,0.8982,0.0017188573941588402,0.997,7.907772430917248e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,109,0.8898,0.0018565926939249039,0.997,7.562269177287817e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,110,0.8975,0.0017068935960531234,0.997,6.390298646874726e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,111,0.8818,0.0020036655321717264,0.998,6.800001754163531e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,112,0.8888,0.0019155031502246856,0.998,4.83686187362764e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,113,0.8955,0.001773134994506836,0.997,6.488641659962013e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,114,0.8971,0.001767353616654873,0.997,6.056220189202577e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,115,0.8934,0.0017677991300821304,0.995,0.00010046373575460166
knn_defense_cifar_1xs_1500_none_k1,none,1,116,0.902,0.0017028552144765854,0.997,8.407238032668829e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,117,0.8935,0.001892955842614174,0.997,6.604845140827819e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,118,0.8974,0.0017827500462532044,0.996,5.7311758515425024e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,119,0.8803,0.002179301628470421,0.999,4.509709779085824e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,120,0.8922,0.0017968067735433578,0.998,7.189401285722852e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,121,0.9019,0.0017183432072401046,0.994,0.00010223237751051783
knn_defense_cifar_1xs_1500_none_k1,none,1,122,0.8953,0.001874643948674202,0.995,9.882411721628159e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,123,0.8875,0.0020582214802503584,0.995,9.00060239364393e-05
knn_defense_cifar_1xs_1500_none_k1,none,1,124,0.8924,0.0019137564361095428,0.997,7.72734515776392e-05
